Week Ending Date,Billable Units,Billable Amount,Billable ASP,Ecommerce Units,Ecommerce Amount,Ecommerce ASP,Total Units,Total Amount,Total ASP,Unnamed: 10,Date,Total Adjusted OB Volume,Billable ,Ecomm
2026-02-28 00:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2026-03-07 00:00:00,0,,
2026-02-21 00:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2026-03-14 00:00:00,0,,
2026-02-14 00:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2026-03-21 00:00:00,0,,
2026-02-07 00:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2026-03-28 00:00:00,0,,
2026-01-31 00:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2026-04-04 00:00:00,0,,
2026-01-24 00:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2026-04-11 00:00:00,0,,
2026-01-17 00:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2026-04-18 00:00:00,0,,
2026-01-10 00:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2026-04-25 00:00:00,0,,
2026-01-03 00:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2026-05-02 00:00:00,0,,
2025-12-27 00:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2026-05-09 00:00:00,0,,
2025-12-20 00:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2026-05-16 00:00:00,0,,
2025-12-13 00:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2026-05-23 00:00:00,0,,
2025-12-06 00:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2026-05-30 00:00:00,0,,
2025-11-29 00:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2026-06-06 00:00:00,0,,
2025-11-22 00:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2026-06-13 00:00:00,0,,
2025-11-15 00:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2026-06-20 00:00:00,0,,
2025-11-08 00:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2026-06-27 00:00:00,0,,
2025-11-01 00:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2026-07-04 00:00:00,0,,
Total,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2026-07-11 00:00:00,0,,
,,,,,,,,,,,2026-07-18 00:00:00,0,,
% Billable Freight,,7900.0,,,,,,,,,2026-07-25 00:00:00,0,,
% Ecomm Freight,,6000.0,,,,,,,,,2026-08-01 00:00:00,0,,
Total ASP,,4600.0,,,,,,,,,2026-08-08 00:00:00,0,,
,,2000.0,,,,,,,,,2026-08-15 00:00:00,0,,
,,330.0,,,,,,,,,2026-08-22 00:00:00,0,,
,,,,,,,,,,,2026-08-29 00:00:00,0,,
,,,,,,,,,,,Grand Total,0,,
